abv,ibu,id,name,style,,brewery_id,ounces
0.053,,2462,Pivo Pils,German Pilsener,,1,12
0.047,,1957,805 Blonde Ale,American Blonde Ale,,1,12
0.047,20,1733,805,American Blonde Ale,,1,12
0.055,35,2568,Take Two Pils,German Pilsener,,1,12
0.057,,2551,Waterkeeper,Hefeweizen,,1,12
0.064,,1710,SweetWater IPA,American IPA,,1,12
0.054,,1709,420 Extra Pale Ale,American Pale Ale (APA),,1,12
0.04,,2567,Flying Mouse 8,American Porter,,1,12
0.07,70,2566,Flying Mouse 4,American IPA,,1,12
0.128,,2565,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,Quadrupel (Quad),,1,19.2
0.104,,2564,Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,Rye Beer,,1,19.2
0.068,24,2563,Lee Hill Series Vol. 2 - Wild Saison,American Wild Ale,,1,19.2
0.099,51,2562,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,American Double / Imperial Stout,,1,19.2
0.076,,2561,Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,American Brown Ale,,1,19.2
0.06,,2560,Blood Orange Saison,Saison / Farmhouse Ale,,1,12
0.065,33,1932,Thai Style White IPA,American White IPA,,1,12
0.075,30,1853,Ferus Fluxus Wild Belgian Pale Ale,American Wild Ale,,1,19.2
0.099,90,1315,Upslope Imperial India Pale Ale,American Double / Imperial IPA,,1,19.2
0.082,,907,Upslope Christmas Ale,Winter Warmer,,1,16
0.077,,906,Upslope Pumpkin Ale,Pumpkin Ale,,1,16
0.075,30,683,Upslope Belgian Style Pale Ale,Belgian Pale Ale,,1,12
0.069,,614,Upslope Foreign Style Stout,Foreign / Export Stout,,1,12
0.048,15,466,Top Rope Mexican-style Craft Lager,Vienna Lager,,1,12
0.048,22,444,Upslope Craft Lager,Vienna Lager,,1,12
0.067,,345,Upslope Brown Ale,English Brown Ale,,1,12
0.058,,80,Upslope Pale Ale,American Pale Ale (APA),,1,12
0.072,,79,Upslope India Pale Ale,American IPA,,1,12
0.065,,2559,Blood of the Unicorn,American Amber / Red Ale,,1,16
0.044,44,2558,Moar,English India Pale Ale (IPA),,1,12
0.083,,2557,Uber Lupin Schwarz IPA,American Double / Imperial IPA,,1,16
0.057,27,2556,Nordic Blonde,American Blonde Ale,,1,12
0.055,,2554,Moped Traveler,American Pale Ale (APA),,1,16
0.054,45,2553,Mazzie,American Pale Ale (APA),,1,12
0.045,,2552,Painted Turtle,American Pale Ale (APA),,1,12
0.052,16,2550,Weissenheimer,Hefeweizen,,1,12
0.049,22,2505,Abbey's Single (2015- ),Abbey Single Ale,,1,12
0.063,76,2025,Vertex IPA,American IPA,,1,12
0.05,12,2021,Here Gose Nothin',Gose,,1,12
0.05,,2015,Strawberry Blonde,Fruit / Vegetable Beer,,1,12
0.096,85,1888,Hoperation Overload,American Double / Imperial IPA,,1,12
0.049,22,1887,Abbey's Single Ale (Current),Abbey Single Ale,,1,12
0.053,40,2549,Make It So,Extra Special / Strong Bitter (ESB),,1,12
0.047,55,2473,Hopvale Organic Ale,American Pale Ale (APA),,1,16
0.083,100,2415,Unchained #18 Hop Silo,American Double / Imperial IPA,,1,16
0.045,,2547,Beach Cruiser,Hefeweizen,,1,12
